Gene,Fold_Change,P_Value,Significant,log2FC,-log10P
200734_s_at,,,False,,
200735_x_at,,,False,,
200736_s_at,,,False,,
200737_at,,,False,,
200738_s_at,,,False,,
200739_s_at,,,False,,
200740_s_at,,,False,,
200741_s_at,,,False,,
200742_s_at,,,False,,
200743_s_at,,,False,,
200744_s_at,,,False,,
200745_s_at,,,False,,
200746_s_at,,,False,,
200747_s_at,,,False,,
200748_s_at,,,False,,
200749_at,,,False,,
200750_s_at,,,False,,
200751_s_at,,,False,,
200752_s_at,,,False,,
200753_x_at,,,False,,
200754_x_at,,,False,,
200755_s_at,,,False,,
200756_x_at,,,False,,
200757_s_at,,,False,,
200758_s_at,,,False,,
200759_x_at,,,False,,
200760_s_at,,,False,,
200761_s_at,,,False,,
200762_at,,,False,,
200763_s_at,,,False,,
200764_s_at,,,False,,
200765_x_at,,,False,,
200766_at,,,False,,
200767_s_at,,,False,,
200768_s_at,,,False,,
200769_s_at,,,False,,
200770_s_at,,,False,,
200771_at,,,False,,
200772_x_at,,,False,,
200773_x_at,,,False,,
200774_at,,,False,,
200775_s_at,,,False,,
200776_s_at,,,False,,
200777_s_at,,,False,,
200778_s_at,,,False,,
200779_at,,,False,,
200780_x_at,,,False,,
200781_s_at,,,False,,
200782_at,,,False,,
200783_s_at,,,False,,
200784_s_at,,,False,,
200785_s_at,,,False,,
200786_at,,,False,,
200787_s_at,,,False,,
200788_s_at,,,False,,
200789_at,,,False,,
200790_at,,,False,,
200791_s_at,,,False,,
200792_at,,,False,,
200793_s_at,,,False,,
200794_x_at,,,False,,
200795_at,,,False,,
200796_s_at,,,False,,
200797_s_at,,,False,,
200798_x_at,,,False,,
200799_at,,,False,,
200800_s_at,,,False,,
200801_x_at,,,False,,
200802_at,,,False,,
200803_s_at,,,False,,
200804_at,,,False,,
200805_at,,,False,,
200806_s_at,,,False,,
200807_s_at,,,False,,
200808_s_at,,,False,,
200809_x_at,,,False,,
200810_s_at,,,False,,
200811_at,,,False,,
200812_at,,,False,,
200813_s_at,,,False,,
200814_at,,,False,,
200815_s_at,,,False,,
200816_s_at,,,False,,
200817_x_at,,,False,,
200818_at,,,False,,
200819_s_at,,,False,,
200820_at,,,False,,
200821_at,,,False,,
200822_x_at,,,False,,
200823_x_at,,,False,,
200824_at,,,False,,
200825_s_at,,,False,,
200826_at,,,False,,
200827_at,,,False,,
200828_s_at,,,False,,
200829_x_at,,,False,,
200830_at,,,False,,
200831_s_at,,,False,,
200832_s_at,,,False,,
200833_s_at,,,False,,
200834_s_at,,,False,,
200835_s_at,,,False,,
200836_s_at,,,False,,
200837_at,,,False,,
200838_at,,,False,,
200839_s_at,,,False,,
200840_at,,,False,,
200841_s_at,,,False,,
200842_s_at,,,False,,
200843_s_at,,,False,,
200844_s_at,,,False,,
200845_s_at,,,False,,
200846_s_at,,,False,,
200847_s_at,,,False,,
200848_at,,,False,,
200849_s_at,,,False,,
200850_s_at,,,False,,
200851_s_at,,,False,,
200852_x_at,,,False,,
200853_at,,,False,,
200854_at,,,False,,
200855_at,,,False,,
200856_x_at,,,False,,
200857_s_at,,,False,,
200858_s_at,,,False,,
200859_x_at,,,False,,
200860_s_at,,,False,,
200861_at,,,False,,
200862_at,,,False,,
200863_s_at,,,False,,
200864_s_at,,,False,,
200865_at,,,False,,
200866_s_at,,,False,,
200867_at,,,False,,
200868_s_at,,,False,,
200869_at,,,False,,
200870_at,,,False,,
200871_s_at,,,False,,
200872_at,,,False,,
200873_s_at,,,False,,
200874_s_at,,,False,,
200875_s_at,,,False,,
200876_s_at,,,False,,
200877_at,,,False,,
200878_at,,,False,,
200879_s_at,,,False,,
200880_at,,,False,,
200881_s_at,,,False,,
200882_s_at,,,False,,
200883_at,,,False,,
200884_at,,,False,,
200885_at,,,False,,
200886_s_at,,,False,,
200887_s_at,,,False,,
200888_s_at,,,False,,
200889_s_at,,,False,,
200890_s_at,,,False,,
200891_s_at,,,False,,
200892_s_at,,,False,,
200893_at,,,False,,
200894_s_at,,,False,,
200895_s_at,,,False,,
200896_x_at,,,False,,
200897_s_at,,,False,,
200898_s_at,,,False,,
200899_s_at,,,False,,
200900_s_at,,,False,,
200901_s_at,,,False,,
200902_at,,,False,,
200903_s_at,,,False,,
200904_at,,,False,,
200905_x_at,,,False,,
200906_s_at,,,False,,
200907_s_at,,,False,,
200908_s_at,,,False,,
200909_s_at,,,False,,
200910_at,,,False,,
200911_s_at,,,False,,
200912_s_at,,,False,,
200913_at,,,False,,
200914_x_at,,,False,,
200915_x_at,,,False,,
200916_at,,,False,,
200917_s_at,,,False,,
200918_s_at,,,False,,
200919_at,,,False,,
200920_s_at,,,False,,
200921_s_at,,,False,,
200922_at,,,False,,
200923_at,,,False,,
200924_s_at,,,False,,
200925_at,,,False,,
200926_at,,,False,,
200927_s_at,,,False,,
200928_s_at,,,False,,
200929_at,,,False,,
200930_s_at,,,False,,
200931_s_at,,,False,,
200932_s_at,,,False,,
200933_x_at,,,False,,
200934_at,,,False,,
200935_at,,,False,,
200936_at,,,False,,
200937_s_at,,,False,,
200938_s_at,,,False,,
200939_s_at,,,False,,
200940_s_at,,,False,,
200941_at,,,False,,
200942_s_at,,,False,,
200943_at,,,False,,
200944_s_at,,,False,,
200945_s_at,,,False,,
200946_x_at,,,False,,
200947_s_at,,,False,,
200948_at,,,False,,
200949_x_at,,,False,,
200950_at,,,False,,
200951_s_at,,,False,,
200952_s_at,,,False,,
200953_s_at,,,False,,
200954_at,,,False,,
200955_at,,,False,,
200956_s_at,,,False,,
200957_s_at,,,False,,
200958_s_at,,,False,,
200959_at,,,False,,
200960_x_at,,,False,,
200961_at,,,False,,
200962_at,,,False,,
200963_x_at,,,False,,
200964_at,,,False,,
200965_s_at,,,False,,
200966_x_at,,,False,,
200967_at,,,False,,
200968_s_at,,,False,,
200969_at,,,False,,
200970_s_at,,,False,,
200971_s_at,,,False,,
200972_at,,,False,,
200973_s_at,,,False,,
200974_at,,,False,,
200975_at,,,False,,
200976_s_at,,,False,,
200977_s_at,,,False,,
200978_at,,,False,,
200979_at,,,False,,
200980_s_at,,,False,,
200981_x_at,,,False,,
200982_s_at,,,False,,
200983_x_at,,,False,,
200984_s_at,,,False,,
200985_s_at,,,False,,
200986_at,,,False,,
200987_x_at,,,False,,
200988_s_at,,,False,,
200989_at,,,False,,
200990_at,,,False,,
200991_s_at,,,False,,
200992_at,,,False,,
200993_at,,,False,,
200994_at,,,False,,
200995_at,,,False,,
200996_at,,,False,,
200997_at,,,False,,
200998_s_at,,,False,,
200999_s_at,,,False,,
201000_at,,,False,,
201001_s_at,,,False,,
201002_s_at,,,False,,
201003_x_at,,,False,,
201004_at,,,False,,
201005_at,,,False,,
201006_at,,,False,,
201007_at,,,False,,
201008_s_at,,,False,,
201009_s_at,,,False,,
201010_s_at,,,False,,
201011_at,,,False,,
201012_at,,,False,,
201013_s_at,,,False,,
201014_s_at,,,False,,
201015_s_at,,,False,,
201016_at,,,False,,
201017_at,,,False,,
201018_at,,,False,,
201019_s_at,,,False,,
201020_at,,,False,,
201021_s_at,,,False,,
201022_s_at,,,False,,
201023_at,,,False,,
201024_x_at,,,False,,
201025_at,,,False,,
201026_at,,,False,,
201027_s_at,,,False,,
201028_s_at,,,False,,
201029_s_at,,,False,,
201030_x_at,,,False,,
201031_s_at,,,False,,
201032_at,,,False,,
201033_x_at,,,False,,
201034_at,,,False,,
201035_s_at,,,False,,
201036_s_at,,,False,,
201037_at,,,False,,
201038_s_at,,,False,,
201039_s_at,,,False,,
201040_at,,,False,,
201041_s_at,,,False,,
201042_at,,,False,,
201043_s_at,,,False,,
201044_x_at,,,False,,
201045_s_at,,,False,,
201046_s_at,,,False,,
201047_x_at,,,False,,
201048_x_at,,,False,,
201049_s_at,,,False,,
201050_at,,,False,,
201051_at,,,False,,
201052_s_at,,,False,,
201053_s_at,,,False,,
201054_at,,,False,,
201055_s_at,,,False,,
201056_at,,,False,,
201057_s_at,,,False,,
201058_s_at,,,False,,
201059_at,,,False,,
201060_x_at,,,False,,
201061_s_at,,,False,,
201062_at,,,False,,
201063_at,,,False,,
201064_s_at,,,False,,
201065_s_at,,,False,,
201066_at,,,False,,
201067_at,,,False,,
201068_s_at,,,False,,
201069_at,,,False,,
201070_x_at,,,False,,
201071_x_at,,,False,,
201072_s_at,,,False,,
201073_s_at,,,False,,
201074_at,,,False,,
201075_s_at,,,False,,
201076_at,,,False,,
201077_s_at,,,False,,
201078_at,,,False,,
201079_at,,,False,,
201080_at,,,False,,
201081_s_at,,,False,,
201082_s_at,,,False,,
201083_s_at,,,False,,
201084_s_at,,,False,,
201085_s_at,,,False,,
201086_x_at,,,False,,
201087_at,,,False,,
201088_at,,,False,,
201089_at,,,False,,
201090_x_at,,,False,,
201091_s_at,,,False,,
201092_at,,,False,,
201093_x_at,,,False,,
201094_at,,,False,,
201095_at,,,False,,
201096_s_at,,,False,,
201097_s_at,,,False,,
201098_at,,,False,,
201099_at,,,False,,
201100_s_at,,,False,,
201101_s_at,,,False,,
201102_s_at,,,False,,
201103_x_at,,,False,,
201104_x_at,,,False,,
201105_at,,,False,,
201106_at,,,False,,
201107_s_at,,,False,,
201108_s_at,,,False,,
201109_s_at,,,False,,
201110_s_at,,,False,,
201111_at,,,False,,
201112_s_at,,,False,,
201113_at,,,False,,
201114_x_at,,,False,,
201115_at,,,False,,
201116_s_at,,,False,,
201117_s_at,,,False,,
201118_at,,,False,,
201119_s_at,,,False,,
201120_s_at,,,False,,
201121_s_at,,,False,,
201122_x_at,,,False,,
201123_s_at,,,False,,
201124_at,,,False,,
201125_s_at,,,False,,
201126_s_at,,,False,,
201127_s_at,,,False,,
201128_s_at,,,False,,
201129_at,,,False,,
201130_s_at,,,False,,
201131_s_at,,,False,,
201132_at,,,False,,
201133_s_at,,,False,,
201134_x_at,,,False,,
201135_at,,,False,,
201136_at,,,False,,
201137_s_at,,,False,,
201138_s_at,,,False,,
201139_s_at,,,False,,
201140_s_at,,,False,,
201141_at,,,False,,
201142_at,,,False,,
201143_s_at,,,False,,
201144_s_at,,,False,,
201145_at,,,False,,
201146_at,,,False,,
201147_s_at,,,False,,
201148_s_at,,,False,,
201149_s_at,,,False,,
201150_s_at,,,False,,
201151_s_at,,,False,,
201152_s_at,,,False,,
201153_s_at,,,False,,
201154_x_at,,,False,,
201155_s_at,,,False,,
201156_s_at,,,False,,
201157_s_at,,,False,,
201158_at,,,False,,
201159_s_at,,,False,,
201160_s_at,,,False,,
201161_s_at,,,False,,
201162_at,,,False,,
201163_s_at,,,False,,
201164_s_at,,,False,,
201165_s_at,,,False,,
201166_s_at,,,False,,
201167_x_at,,,False,,
201168_x_at,,,False,,
201169_s_at,,,False,,
201170_s_at,,,False,,
201171_at,,,False,,
201172_x_at,,,False,,
201173_x_at,,,False,,
201174_s_at,,,False,,
201175_at,,,False,,
201176_s_at,,,False,,
201177_s_at,,,False,,
201178_at,,,False,,
201179_s_at,,,False,,
201180_s_at,,,False,,
201181_at,,,False,,
201182_s_at,,,False,,
201183_s_at,,,False,,
201184_s_at,,,False,,
201185_at,,,False,,
201186_at,,,False,,
201187_s_at,,,False,,
201188_s_at,,,False,,
201189_s_at,,,False,,
201190_s_at,,,False,,
201191_at,,,False,,
201192_s_at,,,False,,
201193_at,,,False,,
201194_at,,,False,,
201195_s_at,,,False,,
201196_s_at,,,False,,
201197_at,,,False,,
201198_s_at,,,False,,
201199_s_at,,,False,,
201200_at,,,False,,
201201_at,,,False,,
201202_at,,,False,,
201203_s_at,,,False,,
201204_s_at,,,False,,
201205_at,,,False,,
201206_s_at,,,False,,
201207_at,,,False,,
201208_s_at,,,False,,
201209_at,,,False,,
201210_at,,,False,,
201211_s_at,,,False,,
201212_at,,,False,,
201213_at,,,False,,
201214_s_at,,,False,,
201215_at,,,False,,
201216_at,,,False,,
201217_x_at,,,False,,
201218_at,,,False,,
201219_at,,,False,,
201220_x_at,,,False,,
201221_s_at,,,False,,
201222_s_at,,,False,,
201223_s_at,,,False,,
201224_s_at,,,False,,
201225_s_at,,,False,,
201226_at,,,False,,
201227_s_at,,,False,,
201228_s_at,,,False,,
201229_s_at,,,False,,
201230_s_at,,,False,,
201231_s_at,,,False,,
201232_s_at,,,False,,
201233_at,,,False,,
201234_at,,,False,,
201235_s_at,,,False,,
201236_s_at,,,False,,
201237_at,,,False,,
201238_s_at,,,False,,
201239_s_at,,,False,,
201240_s_at,,,False,,
201241_at,,,False,,
201242_s_at,,,False,,
201243_s_at,,,False,,
201244_s_at,,,False,,
201245_s_at,,,False,,
201246_s_at,,,False,,
201247_at,,,False,,
201248_s_at,,,False,,
201249_at,,,False,,
201250_s_at,,,False,,
201251_at,,,False,,
201252_at,,,False,,
201253_s_at,,,False,,
201254_x_at,,,False,,
201255_x_at,,,False,,
201256_at,,,False,,
201257_x_at,,,False,,
201258_at,,,False,,
201259_s_at,,,False,,
201260_s_at,,,False,,
201261_x_at,,,False,,
201262_s_at,,,False,,
201263_at,,,False,,
201264_at,,,False,,
201265_at,,,False,,
201266_at,,,False,,
201267_s_at,,,False,,
201268_at,,,False,,
201269_s_at,,,False,,
201270_x_at,,,False,,
201271_s_at,,,False,,
201272_at,,,False,,
201273_s_at,,,False,,
201274_at,,,False,,
201275_at,,,False,,
201276_at,,,False,,
201277_s_at,,,False,,
201278_at,,,False,,
201279_s_at,,,False,,
201280_s_at,,,False,,
201281_at,,,False,,
201282_at,,,False,,
201283_s_at,,,False,,
201284_s_at,,,False,,
201285_at,,,False,,
201286_at,,,False,,
201287_s_at,,,False,,
201288_at,,,False,,
201289_at,,,False,,
201290_at,,,False,,
201291_s_at,,,False,,
201292_at,,,False,,
201293_x_at,,,False,,
201294_s_at,,,False,,
201295_s_at,,,False,,
201296_s_at,,,False,,
201297_s_at,,,False,,
201298_s_at,,,False,,
201299_s_at,,,False,,
201300_s_at,,,False,,
201301_s_at,,,False,,
201302_at,,,False,,
201303_at,,,False,,
201304_at,,,False,,
201305_x_at,,,False,,
201306_s_at,,,False,,
201307_at,,,False,,
201308_s_at,,,False,,
201309_x_at,,,False,,
201310_s_at,,,False,,
201311_s_at,,,False,,
201312_s_at,,,False,,
201313_at,,,False,,
201314_at,,,False,,
201315_x_at,,,False,,
201316_at,,,False,,
201317_s_at,,,False,,
201318_s_at,,,False,,
201319_at,,,False,,
201320_at,,,False,,
201321_s_at,,,False,,
201322_at,,,False,,
201323_at,,,False,,
201324_at,,,False,,
201325_s_at,,,False,,
201326_at,,,False,,
